Time(s),Position(V)
0.337000,1.483416
3.355000,1.471695
6.353000,1.477712
9.353000,1.484089
12.353000,1.498285
15.353000,1.479510
18.353000,1.472031
21.352000,1.471284
24.352000,1.471301
27.352000,1.491323
30.352000,1.474156
33.352000,1.481801
36.350000,1.490813
39.350000,1.480673
42.351000,1.472171
45.351000,1.466636
48.351000,1.461867
51.350000,1.463502
54.350000,1.485714
57.350000,1.445631
60.349000,1.433947
63.349000,1.481849
66.349000,1.486734
69.349000,1.475495
72.349000,1.459035
75.349000,1.480646
78.347000,1.477885
81.348000,1.454443
84.348000,1.462785
87.348000,1.464678
90.348000,1.451444
93.346000,1.451482
96.346000,1.458882
99.347000,1.450295
102.347000,1.446739
105.347000,1.441392
108.345000,1.457577
111.345000,1.449534
114.345000,1.434637
117.345000,1.434138
120.346000,1.422338
123.346000,1.419958
126.344000,1.404980
129.344000,1.415923
132.343000,1.406599
135.343000,1.405439
138.344000,1.384335
141.344000,1.368511
144.344000,1.352163
147.344000,1.336237
150.342000,1.313892
153.342000,1.288134
156.342000,1.259946
159.343000,1.231448
162.343000,1.197800
165.341000,1.165390
168.341000,1.132864
171.341000,1.094399
174.341000,1.055169
177.342000,1.012781
180.340000,0.969068
183.340000,0.923708
186.340000,0.877064
189.340000,0.828129
192.340000,0.775291
195.338000,0.725251
198.339000,0.673556
201.339000,0.614612
204.339000,0.556356
207.339000,0.497970
210.339000,0.438473
213.337000,0.377174
216.338000,0.311771
219.338000,0.247773
222.338000,0.181535
225.338000,0.114582
228.336000,0.046029
231.336000,-0.020842
234.336000,-0.089657
237.337000,-0.159611
240.337000,-0.232928
243.335000,-0.308674
246.335000,-0.380260
249.335000,-0.454389
252.335000,-0.529945
255.336000,-0.607963
258.336000,-0.683203
261.334000,-0.758613
264.334000,-0.833711
267.334000,-0.911351
270.334000,-0.986979
273.334000,-1.064783
276.333000,-1.142368
279.333000,-1.220169
282.333000,-1.299747
285.333000,-1.380858
288.333000,-1.460368
291.331000,-1.542737
294.332000,-1.622580
297.332000,-1.697854
300.332000,-1.770616
303.332000,-1.840597
306.331000,-1.910395
309.331000,-1.984905
312.331000,-2.063520
315.331000,-2.147290
318.331000,-2.229190
321.331000,-2.307092
324.330000,-2.377570
327.330000,-2.441102
330.328000,-2.499620
333.329000,-2.564475
336.329000,-2.630574
339.329000,-2.709337
342.329000,-2.788272
345.329000,-2.858821
348.327000,-2.921035
351.327000,-2.973308
354.328000,-3.025864
357.328000,-3.077852
360.328000,-3.137754
363.326000,-3.203214
366.326000,-3.273579
369.326000,-3.336887
372.327000,-3.389671
375.326000,-3.432198
378.326000,-3.472621
381.326000,-3.510233
384.326000,-3.555024
387.324000,-3.598085
390.325000,-3.650202
393.325000,-3.703002
396.325000,-3.752754
399.325000,-3.794468
402.323000,-3.825839
405.323000,-3.855098
