Marks,Intensity(V)
,0.012028
,0.012109
,0.012680
,0.011926
,0.012558
,0.012456
,0.012435
6546,0.012863
,0.011967
,0.012150
,0.012945
,0.013006
,0.012150
,0.012313
,0.012374
,0.011967
,0.013149
,0.012313
,0.012639
,0.013067
,0.012782
,0.012843
,0.012497
,0.012395
,0.012598
,0.012782
,0.013332
,0.014575
,0.013964
,0.014412
,0.014127
,0.014025
,0.013984
,0.014493
,0.014636
,0.014799
,0.014616
,0.014738
,0.014921
,0.016572
,0.016735
,0.017570
,0.018915
,0.021952
,0.026659
,0.032385
,0.047749
,0.069715
,0.095289
,0.147312
,0.201494
,0.270817
,0.356299
,0.657147
,1.099799
,1.443969
,1.439486
,1.052382
,0.631879
,0.524064
,0.745441
,1.053808
,1.969637
,2.908044
,3.175249
,2.605403
,1.421778
,0.531604
,0.211010
,0.062808
,0.034626
,0.027616
,0.023948
,0.020403
,0.019629
,0.018915
,0.017204
,0.015940
,0.016124
,0.015105
,0.014820
,0.015879
,0.014942
,0.014738
6561,0.014657
,0.013862
,0.014066
,0.014147
,0.013943
,0.013352
,0.013658
,0.013475
,0.013475
,0.013250
,0.012680
,0.012924
,0.013862
