Marks,Intensity(V)
,0.012761
,0.012660
,0.012578
,0.012232
4860,0.012761
,0.012884
,0.012782
,0.012660
,0.012069
,0.012232
,0.012598
,0.012456
,0.012415
,0.013006
,0.012395
,0.012782
,0.012456
,0.013108
,0.013006
,0.012334
,0.013026
,0.013352
,0.013087
,0.012680
,0.013903
,0.014208
,0.013699
,0.014290
,0.015900
,0.016490
,0.034015
,0.132844
,0.300344
,0.443330
,0.463198
,0.332071
,0.197419
,0.162492
,0.208198
,0.239966
,0.206976
,0.132049
,0.096634
,0.045365
,0.029185
,0.021157
,0.016674
,0.013903
,0.013373
,0.013434
,0.013352
,0.012558
,0.012456
,0.012619
,0.013475
,0.012741
,0.012680
4849,0.012700
,0.012578
,0.012660
,0.012334
,0.012028
,0.012130
,0.012598
,0.011539
,0.011967
,0.011661
,0.012232
,0.012130
,0.012028
,0.012741
,0.013067
,0.012456
,0.012578
