Marks,Intensity(V)
,0.020912
,0.019099
,0.018671
,0.021503
,0.020321
,0.020810
,0.022705
,0.023826
4338,0.018834
,0.020464
,0.019995
,0.017896
,0.021524
,0.019812
,0.020953
,0.020994
,0.019547
,0.022522
,0.020709
,0.018487
,0.021911
,0.022848
,0.025966
,0.027250
,0.032385
,0.047199
,0.090154
,0.282697
,0.558970
,0.660346
,0.564166
,0.386131
,0.206772
,0.266762
,0.363431
,0.282351
,0.200761
,0.082716
,0.046832
,0.032385
,0.023602
,0.022970
,0.023011
,0.027514
,0.020668
,0.021625
,0.023378
,0.018650
,0.020647
4329,0.023358
,0.021992
,0.020179
,0.019302
,0.020118
,0.022318
,0.022522
,0.019099
,0.020505
,0.019302
,0.020118
,0.024234
,0.020749
